region;comuna;cut;1;2;3;4;5;6;7;8;9;10;11;12
Aysén;Cisnes;11202; 1.492 ; 1.982 ; 1.509 ; 1.998 ; 119 ; 133 ; 17 ; 16 ; 23 ; 16 ; 159 ; 165 
Aysén;Guaitecas;11203; 383 ; 507 ; 392 ; 509 ; 5 ; 26 ; 9 ; 2 ; 7 ; 5 ; 21 ; 33 
Aysén;Cochrane;11301; 869 ; 1.227 ; 885 ; 1.243 ; 51 ; 68 ; 16 ; 16 ; 27 ; 4 ; 94 ; 88 
Aysén;O’Higgins;11302; 151 ; 229 ; 153 ; 229 ; 7 ; 16 ; 2 ; - ; - ; 1 ; 9 ; 17 
Aysén;Tortel;11303; 126 ; 187 ; 126 ; 188 ; 11 ; 14 ; - ; 1 ; 2 ; 1 ; 13 ; 16 
Aysén;Chile Chico;11401; 1.368 ; 1.783 ; 1.383 ; 1.789 ; 52 ; 78 ; 15 ; 6 ; 21 ; 13 ; 88 ; 97 
Aysén;Río Ibáñez;11402; 862 ; 1.062 ; 868 ; 1.065 ; 32 ; 38 ; 6 ; 3 ; 9 ; 6 ; 47 ; 47 
Magallanes;Punta Arenas;12101; 33.384 ; 42.379 ; 34.683 ; 43.038 ; 428 ; 1.700 ; 1.299 ; 659 ; 705 ; 457 ; 2.432 ; 2.816 
Magallanes;Laguna Blanca;12102; 118 ; 104 ; 119 ; 104 ; 10 ; 3 ; 1 ; - ; 4 ; 1 ; 15 ; 4 
Magallanes;Río Verde;12103; 85 ; 92 ; 85 ; 92 ; 2 ; 5 ; - ; - ; 3 ; 2 ; 5 ; 7 
Magallanes;San Gregorio;12104; 197 ; 147 ; 198 ; 147 ; 7 ; 5 ; 1 ; - ; 2 ; 1 ; 10 ; 6 
Magallanes;Cabo de Hornos;12201; 515 ; 563 ; 520 ; 572 ; 10 ; 18 ; 5 ; 9 ; 4 ; 6 ; 19 ; 33 
Magallanes;Antártica;12202; 10 ; 8 ; 10 ; 8 ; - ; - ; - ; - ; - ; - ; - ; - 
Magallanes;Porvenir;12301; 1.464 ; 2.097 ; 1.489 ; 2.120 ; 60 ; 98 ; 25 ; 23 ; 25 ; 30 ; 110 ; 151 
Magallanes;Primavera;12302; 229 ; 190 ; 233 ; 198 ; 12 ; 7 ; 4 ; 8 ; 1 ; - ; 17 ; 15 
Magallanes;Timaukel;12303; 84 ; 87 ; 84 ; 87 ; 7 ; 17 ; - ; - ; - ; - ; 7 ; 17 
Magallanes;Natales;12401; 5.537 ; 7.274 ; 5.665 ; 7.338 ; 41 ; 401 ; 128 ; 64 ; 90 ; 92 ; 259 ; 557 
Magallanes;Torres del Paine;12402; 128 ; 127 ; 130 ; 128 ; 13 ; 16 ; 2 ; 1 ; 1 ; - ; 16 ; 17 
