region;comuna;cut;1;2;3;4;5;6;7;8;9;10;11;12
Valparaíso;Isla de Pascua;5201; 1.140 ; 2.444 ; 1.155 ; 2.509 ; 57 ; 99 ; 15 ; 65 ; 12 ; 36 ; 84 ; 200 
Valparaíso;Los Andes;5301; 15.985 ; 20.615 ; 16.552 ; 20.880 ; 255 ; 222 ; 567 ; 265 ; 409 ; 269 ; 1.231 ; 756 
Valparaíso;Calle Larga;5302; 2.634 ; 4.667 ; 2.753 ; 4.704 ; 298 ; 145 ; 119 ; 37 ; 117 ; 95 ; 534 ; 277 
Valparaíso;Rinconada;5303; 1.745 ; 3.160 ; 1.867 ; 3.192 ; 175 ; 72 ; 122 ; 32 ; 64 ; 56 ; 361 ; 160 
Valparaíso;San Esteban;5304; 4.057 ; 6.081 ; 4.170 ; 6.168 ; 232 ; 140 ; 113 ; 87 ; 122 ; 92 ; 467 ; 319 
Valparaíso;La Ligua;5401; 8.639 ; 11.827 ; 8.926 ; 12.038 ; 566 ; 203 ; 287 ; 211 ; 247 ; 169 ; 1.100 ; 583 
Valparaíso;Cabildo;5402; 4.699 ; 6.165 ; 4.941 ; 6.240 ; 239 ; 134 ; 242 ; 75 ; 164 ; 84 ; 645 ; 293 
Valparaíso;Papudo;5403; 1.212 ; 1.937 ; 1.255 ; 1.967 ; 86 ; 48 ; 43 ; 30 ; 25 ; 29 ; 154 ; 107 
Valparaíso;Petorca;5404; 2.679 ; 3.441 ; 2.715 ; 3.479 ; 174 ; 112 ; 36 ; 38 ; 47 ; 30 ; 257 ; 180 
Valparaíso;Zapallar;5405; 1.545 ; 2.472 ; 1.611 ; 2.498 ; 85 ; 56 ; 66 ; 26 ; 42 ; 17 ; 193 ; 99 
Valparaíso;Quillota;5501; 19.924 ; 28.755 ; 21.031 ; 29.369 ; 582 ; 387 ; 1.107 ; 614 ; 540 ; 388 ; 2.229 ; 1.389 
Valparaíso;Calera;5502; 12.894 ; 15.855 ; 13.668 ; 16.102 ; 537 ; 305 ; 774 ; 247 ; 438 ; 304 ; 1.749 ; 856 
Valparaíso;Hijuelas;5503; 4.178 ; 5.611 ; 4.336 ; 5.715 ; 400 ; 184 ; 158 ; 104 ; 122 ; 101 ; 680 ; 389 
Valparaíso;La Cruz;5504; 3.480 ; 7.084 ; 3.616 ; 7.121 ; 202 ; 119 ; 136 ; 37 ; 109 ; 61 ; 447 ; 217 
Valparaíso;Limache;5802; 10.547 ; 14.428 ; 10.961 ; 14.614 ; 476 ; 273 ; 414 ; 186 ; 362 ; 264 ; 1.252 ; 723 
Valparaíso;Nogales;5506; 5.589 ; 6.855 ; 5.815 ; 6.955 ; 349 ; 165 ; 226 ; 100 ; 176 ; 141 ; 751 ; 406 
Valparaíso;Olmué;5803; 4.078 ; 5.935 ; 4.191 ; 6.014 ; 318 ; 266 ; 113 ; 79 ; 113 ; 87 ; 544 ; 432 
Valparaíso;San Antonio;5601; 23.548 ; 28.474 ; 24.639 ; 28.926 ; 966 ; 525 ; 1.091 ; 452 ; 573 ; 519 ; 2.630 ; 1.496 
Valparaíso;Algarrobo;5602; 2.631 ; 5.021 ; 2.664 ; 5.073 ; 219 ; 123 ; 33 ; 52 ; 50 ; 59 ; 302 ; 234 
Valparaíso;Cartagena;5603; 5.081 ; 7.639 ; 5.193 ; 7.749 ; 432 ; 229 ; 112 ; 110 ; 122 ; 134 ; 666 ; 473 
Valparaíso;El Quisco;5604; 2.935 ; 5.788 ; 2.989 ; 5.859 ; 211 ; 149 ; 54 ; 71 ; 42 ; 72 ; 307 ; 292 
Valparaíso;El Tabo;5605; 2.361 ; 5.031 ; 2.393 ; 5.088 ; 158 ; 153 ; 32 ; 57 ; 38 ; 51 ; 228 ; 261 
Valparaíso;Santo Domingo;5606; 2.023 ; 3.560 ; 2.078 ; 3.597 ; 93 ; 87 ; 55 ; 37 ; 35 ; 34 ; 183 ; 158 
Valparaíso;San Felipe;5701; 17.579 ; 24.783 ; 18.286 ; 25.502 ; 603 ; 394 ; 707 ; 719 ; 554 ; 511 ; 1.864 ; 1.624 
Valparaíso;Catemu;5702; 3.266 ; 4.446 ; 3.365 ; 4.545 ; 297 ; 151 ; 99 ; 99 ; 87 ; 67 ; 483 ; 317 
Valparaíso;Llaillay;5703; 5.621 ; 7.861 ; 5.840 ; 7.964 ; 435 ; 188 ; 219 ; 103 ; 177 ; 143 ; 831 ; 434 
Valparaíso;Panquehue;5704; 1.668 ; 2.217 ; 1.749 ; 2.239 ; 159 ; 62 ; 81 ; 22 ; 63 ; 41 ; 303 ; 125 
Valparaíso;Putaendo;5705; 3.921 ; 5.247 ; 4.117 ; 5.317 ; 262 ; 216 ; 196 ; 70 ; 133 ; 87 ; 591 ; 373 
Valparaíso;Santa María;5706; 3.436 ; 4.911 ; 3.594 ; 4.999 ; 149 ; 104 ; 158 ; 88 ; 99 ; 77 ; 406 ; 269 
Metropolitana;Santiago;13101; 64.167 ; 163.947 ; 71.481 ; 173.881 ; 567 ; 744 ; 7.314 ; 9.934 ; 1.351 ; 3.727 ; 9.232 ; 14.405 
Metropolitana;Cerrillos;13102; 17.720 ; 23.303 ; 19.521 ; 24.031 ; 785 ; 468 ; 1.801 ; 728 ; 737 ; 651 ; 3.323 ; 1.847 
Metropolitana;Cerro Navia;13103; 34.485 ; 36.394 ; 38.719 ; 38.646 ; 2.914 ; 1.096 ; 4.234 ; 2.252 ; 2.028 ; 1.524 ; 9.176 ; 4.872 
Metropolitana;Conchalí;13104; 31.544 ; 35.939 ; 35.663 ; 38.164 ; 1.368 ; 821 ; 4.119 ; 2.225 ; 1.967 ; 1.363 ; 7.454 ; 4.409 
Metropolitana;El Bosque;13105; 41.477 ; 45.740 ; 45.155 ; 47.334 ; 2.189 ; 877 ; 3.678 ; 1.594 ; 2.152 ; 1.613 ; 8.019 ; 4.084 
Metropolitana;Estación Central;13106; 30.923 ; 43.675 ; 35.508 ; 47.009 ; 749 ; 642 ; 4.585 ; 3.334 ; 1.518 ; 1.598 ; 6.852 ; 5.574 
Metropolitana;Huechuraba;13107; 15.996 ; 27.041 ; 18.447 ; 27.964 ; 993 ; 747 ; 2.451 ; 923 ; 1.057 ; 665 ; 4.501 ; 2.335 
Metropolitana;Independencia;13108; 17.288 ; 31.958 ; 19.072 ; 34.752 ; 210 ; 271 ; 1.784 ; 2.794 ; 747 ; 1.338 ; 2.741 ; 4.403 
Metropolitana;La Cisterna;13109; 21.872 ; 28.501 ; 23.770 ; 29.294 ; 819 ; 478 ; 1.898 ; 793 ; 722 ; 529 ; 3.439 ; 1.800 
Metropolitana;La Florida;13110; 92.065 ; 112.040 ; 99.016 ; 115.085 ; 1.913 ; 1.147 ; 6.951 ; 3.045 ; 3.084 ; 1.907 ; 11.948 ; 6.099 
Metropolitana;La Granja;13111; 31.081 ; 32.905 ; 34.422 ; 34.274 ; 1.870 ; 953 ; 3.341 ; 1.369 ; 1.692 ; 1.175 ; 6.903 ; 3.497 
Metropolitana;La Pintana;13112; 43.139 ; 47.066 ; 47.294 ; 48.817 ; 1.741 ; 895 ; 4.155 ; 1.751 ; 2.728 ; 2.034 ; 8.624 ; 4.680 
Metropolitana;La Reina;13113; 24.509 ; 28.007 ; 25.828 ; 28.703 ; 227 ; 181 ; 1.319 ; 696 ; 474 ; 229 ; 2.020 ; 1.106 
Metropolitana;Las Condes;13114; 73.166 ; 104.821 ; 74.599 ; 106.564 ; 394 ; 226 ; 1.433 ; 1.743 ; 526 ; 332 ; 2.353 ; 2.301 
Metropolitana;Lo Barnechea;13115; 15.529 ; 26.405 ; 16.406 ; 26.864 ; 637 ; 399 ; 877 ; 459 ; 372 ; 302 ; 1.886 ; 1.160 
Metropolitana;Lo Espejo;13116; 24.330 ; 25.823 ; 28.550 ; 27.617 ; 1.281 ; 571 ; 4.220 ; 1.794 ; 1.731 ; 1.159 ; 7.232 ; 3.524 
Metropolitana;Lo Prado;13117; 25.398 ; 28.434 ; 29.003 ; 29.926 ; 919 ; 657 ; 3.605 ; 1.492 ; 1.386 ; 1.019 ; 5.910 ; 3.168 
Metropolitana;Macul;13118; 28.498 ; 38.493 ; 31.828 ; 39.822 ; 493 ; 461 ; 3.330 ; 1.329 ; 1.117 ; 733 ; 4.940 ; 2.523 
Metropolitana;Maipú;13119; 121.851 ; 152.126 ; 125.787 ; 155.337 ; 1.634 ; 1.279 ; 3.936 ; 3.211 ; 2.760 ; 2.478 ; 8.330 ; 6.968 
Metropolitana;Ñuñoa;13120; 51.207 ; 80.450 ; 52.884 ; 82.205 ; 190 ; 122 ; 1.677 ; 1.755 ; 640 ; 436 ; 2.507 ; 2.313 
Metropolitana;Pedro Aguirre Cerda;13121; 27.505 ; 28.283 ; 30.461 ; 29.904 ; 926 ; 507 ; 2.956 ; 1.621 ; 1.726 ; 1.129 ; 5.608 ; 3.257 
Metropolitana;Peñalolén;13122; 49.915 ; 67.524 ; 56.738 ; 70.065 ; 3.142 ; 1.487 ; 6.823 ; 2.541 ; 2.825 ; 1.882 ; 12.790 ; 5.910 
Metropolitana;Providencia;13123; 44.164 ; 59.838 ; 45.233 ; 61.987 ; 121 ; 77 ; 1.069 ; 2.149 ; 162 ; 118 ; 1.352 ; 2.344 
Metropolitana;Pudahuel;13124; 46.623 ; 64.392 ; 51.056 ; 66.601 ; 1.860 ; 952 ; 4.433 ; 2.209 ; 2.318 ; 1.746 ; 8.611 ; 4.907 
Metropolitana;Quilicura;13125; 32.836 ; 59.229 ; 33.785 ; 60.675 ; 377 ; 632 ; 949 ; 1.446 ; 964 ; 1.503 ; 2.290 ; 3.581 
Metropolitana;Quinta Normal;13126; 25.024 ; 33.746 ; 29.334 ; 35.569 ; 969 ; 623 ; 4.310 ; 1.823 ; 1.534 ; 930 ; 6.813 ; 3.376 
Metropolitana;Recoleta;13127; 34.349 ; 46.615 ; 39.987 ; 50.022 ; 1.388 ; 1.015 ; 5.638 ; 3.407 ; 2.202 ; 1.812 ; 9.228 ; 6.234 
Metropolitana;Renca;13128; 31.056 ; 41.417 ; 34.695 ; 42.963 ; 2.261 ; 878 ; 3.639 ; 1.546 ; 1.807 ; 1.363 ; 7.707 ; 3.787 
Metropolitana;San Joaquín;13129; 23.430 ; 27.869 ; 27.142 ; 29.672 ; 600 ; 366 ; 3.712 ; 1.803 ; 1.392 ; 899 ; 5.704 ; 3.068 
Metropolitana;San Miguel;13130; 20.613 ; 37.107 ; 22.427 ; 38.362 ; 498 ; 286 ; 1.814 ; 1.255 ; 652 ; 531 ; 2.964 ; 2.072 
Metropolitana;San Ramón;13131; 21.499 ; 22.928 ; 25.379 ; 24.383 ; 1.494 ; 771 ; 3.880 ; 1.455 ; 1.422 ; 920 ; 6.796 ; 3.146 
Metropolitana;Vitacura;13132; 21.646 ; 27.855 ; 21.870 ; 28.115 ; 28 ; 26 ; 224 ; 260 ; 85 ; 15 ; 337 ; 301 
Metropolitana;Puente Alto;13201; 126.165 ; 161.659 ; 130.698 ; 164.555 ; 2.106 ; 1.204 ; 4.533 ; 2.896 ; 3.699 ; 3.493 ; 10.338 ; 7.593 
Metropolitana;Pirque;13202; 4.145 ; 7.560 ; 4.272 ; 7.651 ; 267 ; 211 ; 127 ; 91 ; 106 ; 119 ; 500 ; 421 
Metropolitana;San José de Maipo;13203; 3.534 ; 5.132 ; 3.738 ; 5.210 ; 293 ; 261 ; 204 ; 78 ; 111 ; 77 ; 608 ; 416 
Metropolitana;Colina;13301; 18.352 ; 38.977 ; 19.089 ; 39.667 ; 832 ; 702 ; 737 ; 690 ; 626 ; 747 ; 2.195 ; 2.139 
Metropolitana;Lampa;13302; 10.163 ; 29.328 ; 10.502 ; 29.739 ; 1.040 ; 1.039 ; 339 ; 411 ; 289 ; 542 ; 1.668 ; 1.992 
Metropolitana;Tiltil;13303; 3.935 ; 5.716 ; 4.008 ; 5.796 ; 306 ; 235 ; 73 ; 80 ; 111 ; 112 ; 490 ; 427 
Metropolitana;San Bernardo;13401; 58.990 ; 84.069 ; 64.192 ; 86.415 ; 2.267 ; 1.756 ; 5.202 ; 2.346 ; 2.497 ; 2.426 ; 9.966 ; 6.528 
Metropolitana;Buin;13402; 14.862 ; 28.042 ; 16.434 ; 28.635 ; 1.243 ; 680 ; 1.572 ; 593 ; 752 ; 577 ; 3.567 ; 1.850 
Metropolitana;Calera de Tango;13403; 4.316 ; 7.009 ; 4.506 ; 7.109 ; 326 ; 256 ; 190 ; 100 ; 133 ; 154 ; 649 ; 510 
Metropolitana;Paine;13404; 12.421 ; 21.274 ; 12.960 ; 21.661 ; 739 ; 598 ; 539 ; 387 ; 476 ; 511 ; 1.754 ; 1.496 
Metropolitana;Melipilla;13501; 23.781 ; 38.468 ; 24.871 ; 39.110 ; 1.138 ; 678 ; 1.090 ; 642 ; 785 ; 597 ; 3.013 ; 1.917 
Metropolitana;Alhué;13502; 1.163 ; 1.903 ; 1.190 ; 1.926 ; 119 ; 75 ; 27 ; 23 ; 40 ; 25 ; 186 ; 123 
Metropolitana;Curacaví;13503; 6.348 ; 9.974 ; 6.642 ; 10.124 ; 579 ; 331 ; 294 ; 150 ; 204 ; 201 ; 1.077 ; 682 
Metropolitana;María Pinto;13504; 2.761 ; 4.171 ; 2.805 ; 4.246 ; 278 ; 136 ; 44 ; 75 ; 68 ; 74 ; 390 ; 285 
Metropolitana;San Pedro;13505; 2.076 ; 3.212 ; 2.124 ; 3.249 ; 199 ; 185 ; 48 ; 37 ; 48 ; 44 ; 295 ; 266 
Metropolitana;Talagante;13601; 14.872 ; 21.379 ; 15.549 ; 21.618 ; 568 ; 383 ; 677 ; 239 ; 454 ; 475 ; 1.699 ; 1.097 
Metropolitana;El Monte;13602; 6.568 ; 10.735 ; 6.959 ; 10.885 ; 396 ; 166 ; 391 ; 150 ; 214 ; 225 ; 1.001 ; 541 
Metropolitana;Isla de Maipo;13603; 6.618 ; 10.722 ; 7.012 ; 10.855 ; 360 ; 263 ; 394 ; 133 ; 244 ; 221 ; 998 ; 617 
Metropolitana;Padre Hurtado;13604; 9.101 ; 18.203 ; 10.097 ; 18.608 ; 635 ; 482 ; 996 ; 405 ; 412 ; 417 ; 2.043 ; 1.304 
Metropolitana;Peñaflor;13605; 16.787 ; 26.130 ; 17.850 ; 26.513 ; 536 ; 422 ; 1.063 ; 383 ; 642 ; 548 ; 2.241 ; 1.353 
O'Higgins;Rancagua;6101; 56.077 ; 79.433 ; 59.251 ; 80.723 ; 1.099 ; 851 ; 3.174 ; 1.290 ; 1.563 ; 927 ; 5.836 ; 3.068 
O'Higgins;Codegua;6102; 2.727 ; 3.915 ; 2.826 ; 3.964 ; 189 ; 111 ; 99 ; 49 ; 118 ; 77 ; 406 ; 237 
O'Higgins;Coinco;6103; 1.677 ; 2.393 ; 1.771 ; 2.418 ; 150 ; 73 ; 94 ; 25 ; 39 ; 32 ; 283 ; 130 
O'Higgins;Coltauco;6104; 4.258 ; 6.244 ; 4.467 ; 6.294 ; 351 ; 218 ; 209 ; 50 ; 122 ; 99 ; 682 ; 367 
O'Higgins;Doñihue;6105; 4.397 ; 6.774 ; 4.615 ; 6.849 ; 304 ; 269 ; 218 ; 75 ; 131 ; 76 ; 653 ; 420 
O'Higgins;Graneros;6106; 6.341 ; 10.223 ; 6.887 ; 10.365 ; 365 ; 286 ; 546 ; 142 ; 222 ; 204 ; 1.133 ; 632 
O'Higgins;Las Cabras;6107; 5.440 ; 8.027 ; 5.669 ; 8.118 ; 291 ; 318 ; 229 ; 91 ; 181 ; 130 ; 701 ; 539 
O'Higgins;Machalí;6108; 7.231 ; 16.642 ; 7.666 ; 16.770 ; 340 ; 281 ; 435 ; 128 ; 218 ; 153 ; 993 ; 562 
O'Higgins;Malloa;6109; 3.377 ; 4.383 ; 3.527 ; 4.447 ; 430 ; 287 ; 150 ; 64 ; 97 ; 75 ; 677 ; 426 
O'Higgins;Mostazal;6110; 5.506 ; 7.838 ; 5.769 ; 8.002 ; 386 ; 312 ; 263 ; 164 ; 232 ; 132 ; 881 ; 608 
O'Higgins;Olivar;6111; 3.118 ; 4.217 ; 3.269 ; 4.263 ; 364 ; 190 ; 151 ; 46 ; 130 ; 67 ; 645 ; 303 
O'Higgins;Peumo;6112; 3.443 ; 4.432 ; 3.729 ; 4.492 ; 229 ; 148 ; 286 ; 60 ; 119 ; 95 ; 634 ; 303 
O'Higgins;Pichidegua;6113; 4.699 ; 6.302 ; 4.977 ; 6.479 ; 204 ; 259 ; 278 ; 177 ; 149 ; 110 ; 631 ; 546 
O'Higgins;Quinta de Tilcoco;6114; 2.866 ; 4.140 ; 3.077 ; 4.269 ; 269 ; 106 ; 211 ; 129 ; 113 ; 68 ; 593 ; 303 
O'Higgins;Rengo;6115; 13.318 ; 18.888 ; 14.010 ; 19.123 ; 861 ; 567 ; 692 ; 235 ; 419 ; 323 ; 1.972 ; 1.125 
O'Higgins;Requínoa;6116; 5.545 ; 8.417 ; 5.846 ; 8.587 ; 441 ; 324 ; 301 ; 170 ; 182 ; 146 ; 924 ; 640 
O'Higgins;San Vicente;6117; 10.873 ; 15.332 ; 11.467 ; 15.605 ; 637 ; 469 ; 594 ; 273 ; 282 ; 209 ; 1.513 ; 951 
O'Higgins;Pichilemu;6201; 3.348 ; 5.884 ; 3.475 ; 5.999 ; 272 ; 217 ; 127 ; 115 ; 72 ; 48 ; 471 ; 380 
O'Higgins;La Estrella;6202; 917 ; 1.123 ; 949 ; 1.136 ; 27 ; 46 ; 32 ; 13 ; 11 ; 4 ; 70 ; 63 
O'Higgins;Litueche;6203; 1.572 ; 2.294 ; 1.634 ; 2.323 ; 108 ; 87 ; 62 ; 29 ; 24 ; 28 ; 194 ; 144 
O'Higgins;Marchihue;6204; 1.888 ; 2.555 ; 2.006 ; 2.584 ; 71 ; 100 ; 118 ; 29 ; 21 ; 20 ; 210 ; 149 
O'Higgins;Navidad;6205; 1.743 ; 2.531 ; 1.769 ; 2.559 ; 188 ; 128 ; 26 ; 28 ; 20 ; 21 ; 234 ; 177 
O'Higgins;Paredones;6206; 1.784 ; 2.245 ; 1.899 ; 2.276 ; 66 ; 138 ; 115 ; 31 ; 31 ; 14 ; 212 ; 183 
O'Higgins;San Fernando;6301; 17.056 ; 24.403 ; 17.708 ; 24.695 ; 668 ; 463 ; 652 ; 292 ; 509 ; 285 ; 1.829 ; 1.040 
O'Higgins;Chépica;6302; 3.451 ; 4.965 ; 3.628 ; 5.004 ; 170 ; 251 ; 177 ; 39 ; 137 ; 62 ; 484 ; 352 
O'Higgins;Chimbarongo;6303; 8.305 ; 11.479 ; 8.749 ; 11.620 ; 717 ; 473 ; 444 ; 141 ; 275 ; 183 ; 1.436 ; 797 
